,name,gender,count,eligible,vowels,rem_count
771,Abiyah,M,5,,1,0
772,Abla,F,11,,3,0
773,Ablakat,F,15,,2,0
774,Able,M,944,,3,0
775,Abnel,M,6,,3,0
776,Abner,M,7873,,3,0
777,Abney,F,10,,2,0
778,Abney,M,5,,2,0
779,Abniel,M,5,,2,0
780,Abony,F,43,,2,0
781,Abou,M,69,,2,0
782,Aboubacar,M,345,,0,0
783,Aboubakar,M,36,,0,0
784,Abra,F,929,,3,0
785,Abraam,M,47,,2,0
786,Abraar,M,12,,2,0
787,Abrah,F,41,,3,0
788,Abraham,F,208,,2,0
789,Abraham,M,91112,,2,0
790,Abrahan,M,969,,2,0
791,Abraheem,M,22,,1,0
792,Abrahem,M,41,,2,0
793,Abrahim,M,601,,2,0
794,Abrahm,M,713,,3,0
